objName,objID,projectionID,skyCellID,randomID,objInfoFlag,qualityFlag,raMean,decMean,raMeanErr,decMeanErr,epochMean,posMeanChisq,nStackObjectRows,nStackDetections,nDetections,primaryDetection,bestDetection,gPSFMag,gPSFMagErr,gKronMag,gKronMagErr,ginfoFlag,ginfoFlag2,ginfoFlag3,gpsfQf,gpsfQfPerfect,gPSFFlux,gPSFFluxErr,gKronFlux,gKronFluxErr,gKronRad,rPSFMag,rPSFMagErr,rKronMag,rKronMagErr,rinfoFlag,rinfoFlag2,rinfoFlag3,rpsfQf,rpsfQfPerfect,rPSFFlux,rPSFFluxErr,rKronFlux,rKronFluxErr,rKronRad,iPSFMag,iPSFMagErr,iKronMag,iKronMagErr,iinfoFlag,iinfoFlag2,iinfoFlag3,ipsfQf,ipsfQfPerfect,iPSFFlux,iPSFFluxErr,iKronFlux,iKronFluxErr,iKronRad,zPSFMag,zPSFMagErr,zKronMag,zKronMagErr,zinfoFlag,zinfoFlag2,zinfoFlag3,zpsfQf,zpsfQfPerfect,zPSFFlux,zPSFFluxErr,zKronFlux,zKronFluxErr,zKronRad,yPSFMag,yPSFMagErr,yKronMag,yKronMagErr,yinfoFlag,yinfoFlag2,yinfoFlag3,ypsfQf,ypsfQfPerfect,yPSFFlux,yPSFFluxErr,yKronFlux,yKronFluxErr,yKronRad,Ang Sep ('),redshift,W1mag,W2mag,W3mag,zDEC,e_W1mag,e_W2mag,e_W3mag,Jmag,e_Jmag
PSO J162911.296+240739.726,136952472971332992,1904,1,0.284506052066112,1375887360,164,247.2970686,24.1277019,0.086,0.071,55974.30988426,0.942,-999,1,7,1,0,-999,9.733,-999,-999,35651585,4,196608,0.997,0.997,-3.387e-08,3.296e-07,-999,-999,-999,-999,2.618,-999,-999,35651585,4,196608,0.998,0.998,-1.102e-07,2.885e-07,-999,-999,-999,25.371,1.205,-999,-999,35651585,4,196608,0.998,0.998,2.58e-07,3.108e-07,-999,-999,-999,22.81,0.339,-999,-999,35651585,4,196608,0.999,0.999,2.728e-06,9.239e-07,-999,-999,-999,20.048,0.063,20.265,0.105,35651585,0,196608,0.998,0.998,3.474e-05,2.198e-06,2.844e-05,3.001e-06,2.166,0.001,6.476,16.792,16.07,12.282,20.85,0.075,0.136,0.396,19.400957,0.170631
PSO J131608.155+102832.816,120571990340080992,1550,62,0.55845221556579,436285440,52,199.0339814,10.4757824,0.186,0.186,56476.2669213,-999,-999,2,1,1,0,-999,0.583,-999,-999,35651585,4,196608,0.999,0.999,-6.204e-07,3.616e-07,-999,-999,-999,-999,0.341,-999,-999,35651585,4,196608,1,1,-9.24e-07,3.147e-07,-999,-999,-999,27.327,7.221,-999,-999,35651585,4,196608,0.998,0.998,4.259e-08,3.075e-07,-999,-999,-999,22.419,0.182,22.249,0.196,35651585,0,196608,0.998,0.998,3.91e-06,7.102e-07,4.576e-06,8.956e-07,1.707,20.695,0.101,20.427,0.138,35667969,0,196608,0.997,0.997,1.914e-05,1.93e-06,2.45e-05,3.375e-06,2.603,0.003,6.35,16.751,15.604,12.176,21.85,0.090,0.119,0.522,19.941093,0.154442
PSO J231546.581+002357.683,107523489441011008,1319,92,0.379160775224828,436363264,52,348.9440896,-0.3993566,0.011,0.038,55833.52173611,0.296,-999,4,6,1,0,-999,1.097,-999,-999,35651585,4,196608,0.999,0.999,-2.104e-07,2.308e-07,-999,-999,-999,25.547,1.7,-999,-999,35651585,4,196608,0.998,0.998,2.193e-07,3.728e-07,-999,-999,-999,24.404,0.586,-999,-999,35651585,4,196608,0.998,0.998,6.286e-07,3.686e-07,-999,-999,-999,21.038,0.052,21.133,0.088,35651585,0,196608,0.998,0.998,1.395e-05,7.222e-07,1.278e-05,1.127e-06,2.003,21.177,0.15,21.486,0.276,35651585,0,196608,0.998,0.998,1.228e-05,1.847e-06,9.242e-06,2.555e-06,2.012,0.005,6.117,17.56,16.587,12.176,20.8,0.205,NaN,NaN,NaN,NaN
PSO J121721.344+013142.555,109831843389184000,1368,34,0.704252388052877,436363264,52,184.3389374,1.5284877,0.052,0.04,56250.82179398,0.358,-999,2,4,1,0,24.868,0.637,-999,-999,35651585,4,196608,0.999,0.999,4.1e-07,2.612e-07,-999,-999,-999,-999,1.201,-999,-999,35651585,4,196608,0.998,0.998,-3.566e-07,4.283e-07,-999,-999,-999,24.779,0.839,-999,-999,35651585,4,196608,0.997,0.997,4.45e-07,3.735e-07,-999,-999,-999,21.235,0.061,21.486,0.106,35651585,0,196608,0.997,0.997,1.164e-05,7.13e-07,9.238e-06,9.822e-07,2.035,21.451,0.188,21.505,0.268,35651585,0,196608,0.998,0.998,9.542e-06,1.79e-06,9.082e-06,2.43e-06,1.945,0.003,6.17,17.581,16.26,12.147,20.78,0.210,NaN,NaN,NaN,NaN
PSO J103446.508-142515.847,90691586938004992,1005,37,0.654586396789724,436527104,52,158.6937848,-14.4210687,0.011,0.008,56095.10202546,0.405,-999,2,21,1,1,-999,1.714,-999,-999,186646529,655396,196608,0.943,0.443,-5.972e-07,1.024e-06,-999,-999,-999,24.978,1.691,-999,-999,186646529,655364,196608,0.973,0.973,3.706e-07,6.266e-07,-999,-999,-999,22.355,0.233,-999,-999,186646529,655364,196608,0.966,0.953,4.15e-06,9.687e-07,-999,-999,-999,19.648,0.017,19.765,0.026,262144069,524416,196608,0.998,0.998,5.019e-05,8.47e-07,4.509e-05,1.171e-06,1.948,19.339,0.033,19.503,0.053,262144005,524416,196608,0.996,0.996,6.675e-05,2.202e-06,5.739e-05,3.049e-06,2.078,0.003,6.07,15.856,15.135,11.421,NaN,0.053,0.082,0.184,NaN,NaN
PSO J232908.294-030158.224,104363522846091008,1320,24,0.43230242881207,1343750144,160,352.2845623,-3.0328401,0.001,0.001,56022.62087963,-999,-999,1,0,1,0,24.43,0.478,-999,-999,35651585,4,196608,0.999,0.999,6.137e-07,2.936e-07,-999,-999,-999,26.357,3.119,-999,-999,35651585,4,196608,0.997,0.997,1.041e-07,3.247e-07,-999,-999,-999,26.222,3.029,-999,-999,35651585,4,196608,0.998,0.998,1.178e-07,3.568e-07,-999,-999,-999,22.189,0.194,-999,-999,35651585,0,196608,0.998,0.998,4.837e-06,9.386e-07,-999,-999,-999,21.84,0.303,-999,-999,35651585,4,196608,0.997,0.997,6.669e-06,2.024e-06,-999,-999,-999,0.01,6.43,NaN,NaN,NaN,21.55,NaN,NaN,NaN,NaN,NaN
PSO J155909.089+221214.408,134642397878965372,1820,55,0.264936506994941,436281344,52,239.7878725,22.2040023,0.035,0.027,56663.24018519,0.439,-999,2,3,1,0,-999.000,0.546,-999.000,-999.000,35651585,4,196608,0.998,0.998,-8.005e-7,4.375e-7,-999.000,-999.000,-999.000,-999.000,0.782,-999.000,-999.000,35651585,4,196608,0.997,0.997,-4.566e-7,3.569e-7,-999.000,-999.000,-999.000,-999.000,1.030,-999.000,-999.000,35651585,4,196608,0.997,0.997,-2.693e-7,2.775e-7,-999.000,-999.000,-999.000,20.902,0.055,21.136,0.087,35651585,0,196608,0.997,0.997,1.581e-5,8.715e-7,1.276e-5,1.104e-6,1.968,20.896,0.102,20.953,0.138,35651585,0,196608,0.997,0.997,1.591e-5,1.622e-6,1.509e-5,2.090e-6,1.962,0.002,6.07,17.137,16.381,12.27,20.61,0.105,0.206,NaN,19.864950,0.245853
PSO J083946.885+390011.560,154801299453454503,2111,75,0.324220447171685,1375809536,164,129.9453567,39.0032113,0.135,0.135,55651.25454861,0.394,-999,1,3,1,0,27.702,9.093,-999.000,-999.000,35651585,4,196608,0.998,0.998,3.015e-8,2.742e-7,-999.000,-999.000,-999.000,-999.000,0.676,-999.000,-999.000,35651585,4,196608,0.999,0.999,-6.995e-7,4.730e-7,-999.000,-999.000,-999.000,-999.000,1.382,-999.000,-999.000,35651585,4,196608,0.997,0.997,-1.926e-7,2.662e-7,-999.000,-999.000,-999.000,23.466,0.475,-999.000,-999.000,35651585,4,196608,0.997,0.997,1.492e-6,7.087e-7,-999.000,-999.000,-999.000,20.276,0.081,20.492,0.142,35651585,0,196608,0.996,0.996,2.817e-5,2.289e-6,2.307e-5,3.283e-6,2.049,0.002,6.905,16.641,15.623,12.247,NaN,0.087,0.123,NaN,19.450035,0.196840
PSO J041128.632-090749.691,97040628693233851,1070,79,0.919570624753433,1375887360,164,62.8693009,-9.1304700,0.045,0.031,56063.60170139,0.314,-999,1,6,1,0,-999.000,2.397,-999.000,-999.000,35651585,4,196608,1.000,1.000,-1.514e-7,3.629e-7,-999.000,-999.000,-999.000,24.503,0.828,-999.000,-999.000,35651585,4,196608,0.999,0.999,5.736e-7,4.749e-7,-999.000,-999.000,-999.000,23.682,0.288,-999.000,-999.000,35651585,4,196608,0.998,0.998,1.223e-6,3.524e-7,-999.000,-999.000,-999.000,-999.000,0.857,-999.000,-999.000,35651585,4,196608,0.998,0.998,-1.274e-6,1.092e-6,-999.000,-999.000,-999.000,20.085,0.058,20.168,0.088,35651585,0,196608,0.998,0.998,3.357e-5,1.938e-6,3.112e-5,2.752e-6,1.993,0.002,6.81,16.78,16.252,12.622,20.96,0.094,0.190,NaN,NaN,NaN
PSO J082931.979+411740.870,157551273833484191,2181,34,0.24441566154772,1343750144,160,127.3832471,41.2946863,0.001,0.001,56369.24100694,-999.000,-999,1,0,1,0,-999.000,1.665,-999.000,-999.000,35651585,4,196608,0.999,0.999,-2.273e-7,3.784e-7,-999.000,-999.000,-999.000,-999.000,0.357,-999.000,-999.000,35651585,4,196608,0.999,0.999,-1.118e-6,3.987e-7,-999.000,-999.000,-999.000,25.499,1.197,-999.000,-999.000,35651585,4,196608,0.998,0.998,2.293e-7,2.745e-7,-999.000,-999.000,-999.000,-999.000,1.002,-999.000,-999.000,35651585,4,196608,0.998,0.998,-7.044e-7,7.055e-7,-999.000,-999.000,-999.000,20.643,0.114,20.507,0.155,35651585,0,196608,0.998,0.998,2.009e-5,2.281e-6,2.276e-5,3.533e-6,2.508,0.008,6.768,17.264,16.154,12.464,NaN,0.144,0.191,NaN,19.34181,0.146899
