Name PS1imag	e_PS1imag PS1zmag e_PS1zmag PS1ymag e_PS1ymag W1mag e_W1mag W2mag e_W2mag W3mag e_W3mag Jmag e_Jmag r_Jmag E(B-V)
J1137+3549  22.23  0.08 19.46  0.01 19.42  0.03 19.16  0.07 19.23  0.14 11.93  0.50 19.35  0.05  7 0.02
P174-12     23.11  0.32 20.04  0.04 20.21  0.10 19.72  0.12 19.25  0.16 12.50  0.50 20.34  0.19  4 0.03
P175-20     22.56  0.20 20.17  0.04 20.35  0.08 19.17  0.08 19.68  0.25 12.05  0.50 19.96  0.13  4 0.05
J1143+3808  22.43  0.08 20.11  0.03 20.02  0.05 19.63  0.10 19.37  0.16 12.80  0.50 19.95  0.14  2 0.02
J1148+0702  23.28  0.26 20.99  0.07 20.37  0.11 19.09  0.08 18.82  0.13 12.09  0.50 20.30  0.11  3 0.02
J1148+5251  22.71  0.12 20.56  0.03 19.01  0.04 18.67  0.05 18.79  0.08 12.56  0.45 19.19  0.05  6 0.02
J1207+0630  22.98  0.17 20.44  0.03 20.15  0.07 19.69  0.13 19.43  0.21 12.04  0.50 20.29  0.14  3 0.02
P183-12     22.14  0.13 19.47  0.02 19.23  0.03 18.98  0.07 19.18  0.16 12.42  0.50 19.10  0.04  4 0.05                            
P184+01     23.74 -1.00 21.20  0.07 21.46  0.20 20.28  0.21 19.60  0.50 12.15  0.50 20.34  0.14  0 0.02
P187-02     23.74 -1.00 20.92  0.05 20.88  0.10 19.89  0.14 19.97  0.32 11.77  0.50 20.73  0.13  1 0.03
J1243+2529  23.43  0.26 20.24  0.03 20.63  0.08 19.40  0.09 18.86  0.11 12.56  0.50 20.14  0.12  3 0.02
J1250+3130  23.12  0.19 19.88  0.02 20.28  0.08 19.11  0.07 18.71  0.09 12.12  0.50 19.86  0.11  3 0.01
J1257+6349  22.85  0.21 20.80  0.07 20.50  0.14 19.61  0.08 19.86  0.19 12.52  0.50 20.72  0.08 23 0.01
J1306+0356  22.50  0.19 19.76  0.03 19.96  0.06 19.57  0.10 19.78  0.50 12.27  0.50 19.71  0.10  5 0.03
P197+25     23.66  0.31 20.95  0.06 20.71  0.12 20.28  0.17 20.15  0.50 12.42  0.50 19.80  0.50  0 0.01
J1319+0950  22.86  0.15 20.13  0.02 19.76  0.04 19.73  0.11 19.65  0.21 12.58  0.50 19.70  0.03 13 0.02
P201+57     23.21  0.29 20.43  0.05 20.63  0.15 20.07  0.12 19.54  0.16 12.86  0.50 20.16  0.24  1 0.01
J1335+3533  22.87  0.16 20.22  0.02 20.06  0.06 19.41  0.07 19.33  0.13 12.15  0.50 19.91  0.05  7 0.01
P209-26     21.68  0.09 19.35  0.01 19.49  0.04 19.07  0.08 19.08  0.15 11.94  0.21 19.35  0.05  1 0.06
P210+27     23.75 -1.00 21.18  0.06 20.27  0.08 20.26  0.16 20.32  0.35 12.34  0.50 20.35  0.15  3 0.02                                                   
P210+09     23.02  0.16 20.31  0.03 20.31  0.09 19.98  0.12 20.09  0.29 12.27  0.50 21.03  0.23  1 0.03
J1411+1217  23.33  0.25 19.58  0.02 20.05  0.08 19.29  0.07 18.87  0.09 12.75  0.50 19.89  0.05  7 0.02
P213-22     22.68  0.22 19.55  0.02 19.89  0.08 19.46  0.17 18.97  0.19 12.23  0.42 18.92  0.11  0 0.09                                                    
P215-16     21.48  0.05 19.08  0.02 19.14  0.03 18.27  0.05 18.12  0.07 11.79  0.20 18.86  0.03  4 0.08
J1425+3254  22.89  0.17 20.41  0.03 20.26  0.07 19.67  0.08 19.66  0.16 12.43  0.50 20.37  0.17  2 0.01
