ra,dec,W1mag,W2mag,W3mag,PS1zmag,PS1ymag,Jmag
183.44418254122152,6.856013023571526,17.679,17.289,12.368,23.8236999511719,21.6814002990723,19.319
183.4952793245391,7.954221436577502,17.496,16.44,12.557,22.7602996826172,21.2203998565674,19.682
185.17794190995883,9.438567529338055,17.398,16.594,12.201,23.6383991241455,20.7155990600586,18.345
195.37406981998075,6.1910273255512,17.005,16.599,12.579,22.9496994018555,21.0629997253418,19.62
192.1395790552701,5.4688136431963645,16.472,15.878,12.131,24.6571006774902,21.6760997772217,19.641
192.57878899736576,5.559628170261781,17.611,17.092,12.369,22.7910003662109,21.0734996795654,19.391
206.88531591689048,6.872091255738795,17.566,16.693,12.602,22.9778003692627,21.4580993652344,19.829
217.00116303134982,7.66764301869094,16.934,16.37,12.226,25.0881004333496,23.1266994476318,20.363
217.68909710728028,9.620026206913504,17.648,16.745,13.007,24.3204002380371,22.7304000854492,19.971
214.53854501104885,5.418176260024812,17.188,16.815,12.607,23.4501991271973,20.9946002960205,19.073
216.1017853781679,6.6919215968762815,17.185,15.707,12.561,22.2203998565674,20.5499000549316,17.848
211.67717514407525,7.8675468486434,17.822,17.098,12.978,22.3124008178711,20.7565002441406,18.89
212.23023135776302,9.83054968967529,17.804,17.457,12.863,22.8304996490479,21.1630992889404,20.055
206.67096841707223,15.313934948068809,17.698,17.251,12.578,22.5011005401611,20.9643001556396,19.273
208.67243223846143,23.12086691333998,17.123,16.408,12.82,23.0886001586914,21.3960990905762,19.835
205.51815487932737,23.217745523630438,17.835,17.043,12.985,22.9979000091553,21.3822994232178,18.913
206.91143904027047,22.94415157060835,17.248,16.748,12.554,22.6217002868652,20.646900177002,18.157
169.1891150433571,1.941574056667775,17.486,16.537,12.5,22.863000869751,21.1044006347656,19.814
176.26247775195154,1.3249455449346705,17.429,16.967,12.212,22.8831996917725,21.1928005218506,19.562
172.10859511810588,4.7909791552888175,17.242,16.641,12.341,23.9270000457764,21.1947994232178,20.192
179.16951363257098,4.345512324491582,17.373,16.634,12.478,24.0837001800537,21.395299911499,19.188
183.30917485318824,3.1182917906677954,17.444,16.926,11.985,22.9381008148193,21.3848991394043,19.74
184.40524173287963,0.2794478097209921,17.393,16.731,11.94,23.8451995849609,21.636100769043,19.003
196.22615175060272,0.8013086846559084,17.52,16.735,12.545,23.5028991699219,21.5606002807617,19.522
208.90319368213912,4.849590341593962,17.681,16.702,12.838,22.8679008483887,21.0886001586914,19.142
200.2155099179359,1.7891019925284073,17.32,16.828,12.345,23.1280002593994,21.2786998748779,19.128
200.9926693345882,0.10871578952495624,17.695,17.062,12.823,23.6427993774414,21.3834991455078,19.716
212.38210975035483,0.10150395963834867,17.194,16.64,12.744,22.8351993560791,21.1972007751465,19.892
213.8584936851106,3.8553393614239666,17.249,16.855,13.041,23.5056991577148,21.4452991485596,20.311
218.87371781410533,0.6764769475907346,17.546,16.874,12.252,23.0571994781494,20.8187007904053,18.815
218.49558921348046,1.532419929018994,17.614,16.857,12.534,23.2658996582031,21.5853996276855,19.854
199.36943317892096,29.275758691456442,17.736,16.866,12.136,22.8353996276855,20.9269008636475,19.527
190.52200910528748,28.683246999832473,17.776,17.017,12.792,26.8759994506836,20.8083992004395,19.601
191.11019457833814,26.932380973852368,16.96,15.663,12.633,21.9554004669189,20.0347003936768,17.396
197.32235739310664,29.79009690001561,16.903,16.103,12.276,22.3474998474121,20.7602996826172,18.509
200.5291151254552,29.751801176235443,17.781,16.894,12.618,22.43630027771,20.9249000549316,19.568
201.12816942791076,27.999839035441504,17.685,17.309,12.618,23.0678997039795,21.1707000732422,19.693
207.13717005432062,25.550614889917455,17.211,16.52,12.959,23.6194000244141,21.2441997528076,19.538
162.0795171780625,-1.1612314931494376,17.344,17.011,12.521,23.5149993896484,21.0006008148193,19.715
171.58677292466177,-1.1455329402480348,17.066,16.524,12.522,22.9260997772217,21.395299911499,19.027
215.80379396827377,-1.3250995294075163,17.309,16.348,12.284,23.1634006500244,21.4500999450684,18.876
213.88415113222203,-1.220628794830891,17.633,16.978,12.863,22.8043994903564,21.1324996948242,18.927
220.03030233863294,12.246834410048088,17.645,17.305,12.916,23.3299999237061,21.3777008056641,19.716
227.59300953394427,9.493389398225403,16.508,15.698,12.285,23.1718006134033,21.5328006744385,19.605
229.93351640787265,9.167578312319588,17.42,17.115,12.806,23.3061008453369,21.2049007415771,19.214
226.0092960197344,9.552163774173273,17.25,16.327,12.847,23.1417999267578,21.3367004394531,19.944
224.88100784549087,1.6946967465722418,16.919,15.989,12.456,23.1515007019043,21.3369998931885,19.172
157.14872674170144,13.856734675145185,16.836,16.29,12.171,23.290599822998,21.4680004119873,19.39
157.85108310225075,12.011392724528651,17.272,16.384,12.294,22.4536991119385,20.8880004882813,19.134
157.14653270569445,11.758182959714846,17.591,16.592,12.188,22.8726997375488,21.2632007598877,19.662
158.50159510033336,14.526668923989142,17.274,16.338,12.198,23.226900100708,21.2362995147705,19.38
159.76316049775886,13.662405453881481,15.94,15.579,11.781,22.1681003570557,20.6597003936768,18.657
155.14961693082242,12.030673639923293,17.762,16.633,12.178,23.2390995025635,21.4066009521484,19.993
151.12092604111822,8.152599429974279,16.576,15.97,12.713,23.179500579834,21.3020992279053,19.191
152.047431092428,6.4607233376797355,16.969,15.914,12.572,22.3868999481201,20.8285999298096,18.707
155.43674873426102,5.746180547234417,16.726,15.699,11.583,22.4563999176025,20.5771999359131,17.755
154.727153206233,2.9981453633482213,16.585,15.361,11.785,21.8227005004883,20.086799621582,17.803
155.04789224559917,0.5748035918551955,17.606,16.376,12.416,22.1588001251221,20.4423007965088,19.083
156.07070051804257,3.8482711751782555,17.408,16.339,11.737,23.6515998840332,21.1746997833252,17.975
150.4116946273334,-0.6709697664149961,17.55,16.865,12.474,25.0921993255615,20.8931999206543,19.875
145.633747994607,10.960186974742198,17.351,16.987,11.921,22.4447002410889,20.777099609375,19.391
142.98157541919713,10.704369932100665,17.264,16.578,12.482,22.8150997161865,20.807300567627,19.339
144.6070889079227,10.568904840676712,17.421,17.028,12.688,22.699800491333,21.1527004241943,19.204
144.34010806315354,10.071939410094775,17.203,16.777,12.275,22.3644008636475,20.7147006988525,19.003
142.87083052080067,7.197508476169085,16.456,16.003,12.51,24.2469997406006,21.2206001281738,19.362
143.70626278647362,9.781668294254489,16.445,15.614,12.146,23.2959003448486,21.4013004302979,19.283
148.37522993535157,8.150940283023425,17.72,17.373,12.521,23.5279998779297,21.5790996551514,19.91
144.05468020008274,8.291323482130581,17.268,16.94,12.213,25.9200000762939,20.9715995788574,18.839
145.62286602101372,2.558974610306006,16.785,15.721,12.337,21.6788005828857,20.0072994232178,17.456
140.9463415543795,4.048447868302498,16.36,15.861,11.955,24.2210006713867,20.2439002990723,19.35
141.2324205759804,-3.187239588172335,17.142,16.674,11.891,22.952299118042,21.2457008361816,19.997
148.76872870199702,-2.301165832405637,16.353,16.037,12.326,23.5221004486084,20.9244995117188,18.843
133.61697315499637,29.142404466280645,17.297,16.756,12.074,23.451099395752,21.5599994659424,20.179
132.48804303420553,27.46758273506026,17.605,16.407,12.362,23.8216991424561,21.4580993652344,19.468
132.57902927866127,27.341270020250512,16.673,15.922,12.164,23.6488990783691,21.5321006774902,19.616
132.08529701335704,26.59202413330138,16.838,16.345,11.918,25.2854995727539,20.7194004058838,18.77
138.6767715177996,6.811894946764814,17.045,16.541,12.489,24.3750991821289,22.5930995941162,20.076
135.834111294294,8.358679104045551,17.048,16.133,11.886,23.238899230957,20.6457004547119,20.323
135.36034515394425,6.062029054206201,16.614,15.652,12.209,25.1009998321533,22.2378005981445,19.258
136.18927975184906,9.056802551986053,17.176,16.582,11.92,23.104700088501,21.0438003540039,19.067
136.52378514103768,5.6278808999776455,15.814,15.259,12.5,23.1378993988037,21.3582992553711,19.003
133.4287686210349,0.11473447324664285,17.429,16.073,12.495,23.3008003234863,21.0590991973877,18.658
138.1408661178064,1.8632132599196023,17.327,16.598,12.585,22.7091007232666,20.9619007110596,19.154
139.72522763989014,3.3634094560948213,17.333,16.411,12.177,22.9836006164551,20.7779998779297,18.268
135.56639528390352,3.8342437950230317,15.972,15.508,12.399,21.8386993408203,20.3020000457764,18.165
135.8447082630003,2.2093383398827795,17.515,17.101,12.663,26.596399307251,22.4841995239258,19.077
130.25093337837893,3.175167226282462,17.284,16.269,12.241,23.2341995239258,21.3183994293213,19.218
137.5169082897602,-3.0228821266443737,16.969,16.175,12.315,24.021900177002,21.0375995635986,19.665
132.82930265717937,-0.2832659061302944,17.546,16.967,12.581,23.2171001434326,21.4466991424561,19.834
160.3295833,20.1398056,17.11,16.515,12.5,21.07,20.67,19.42
